date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:54:15	310/310	---M--	200	added ('OK')	application/javascript	etag:W/%22136-189df18e1a8%22	https://uavlens-company-website0ju8vnhpxo.codedesign.app/_next/static/qIfS1wSRnwkzgJ2WzS_sU/_buildManifest.js	/home/abhyuday/websites/Mavlens-Final/uavlens-company-website0ju8vnhpxo.codedesign.app/_next/static/qIfS1wSRnwkzgJ2WzS_sU/_buildManifest.js	(from https://uavlens-company-website0ju8vnhpxo.codedesign.app/)
12:54:16	77/77	---M--	200	added ('OK')	application/javascript	etag:W/%224d-189df18e1a8%22	https://uavlens-company-website0ju8vnhpxo.codedesign.app/_next/static/qIfS1wSRnwkzgJ2WzS_sU/_ssgManifest.js	/home/abhyuday/websites/Mavlens-Final/uavlens-company-website0ju8vnhpxo.codedesign.app/_next/static/qIfS1wSRnwkzgJ2WzS_sU/_ssgManifest.js	(from https://uavlens-company-website0ju8vnhpxo.codedesign.app/)
12:54:17	92/92	---M--	200	added ('OK')	application/javascript	etag:W/%225c-189df191a60%22	https://uavlens-company-website0ju8vnhpxo.codedesign.app/_next/static/qIfS1wSRnwkzgJ2WzS_sU/_middlewareManifest.js	/home/abhyuday/websites/Mavlens-Final/uavlens-company-website0ju8vnhpxo.codedesign.app/_next/static/qIfS1wSRnwkzgJ2WzS_sU/_middlewareManifest.js	(from https://uavlens-company-website0ju8vnhpxo.codedesign.app/)
12:54:19	164241/164241	---M--	200	added ('OK')	image/jpeg	etag:%226f1798fcd7c238f9bef0ad57e6489802%22	https://res.cloudinary.com/storylens/image/upload/v1692255022/ftuyfhjhzhbavewlru6h.jpg	/home/abhyuday/websites/Mavlens-Final/res.cloudinary.com/storylens/image/upload/v1692255022/ftuyfhjhzhbavewlru6h.jpg	(from https://uavlens-company-website0ju8vnhpxo.codedesign.app/)
12:54:20	94935/94935	---M--	200	added ('OK')	image/jpeg	etag:%22fea590698391d08006dc0e80c0bd019d%22	https://res.cloudinary.com/storylens/image/upload/v1692255022/dsh5kyzcsfcx9418e7ro.jpg	/home/abhyuday/websites/Mavlens-Final/res.cloudinary.com/storylens/image/upload/v1692255022/dsh5kyzcsfcx9418e7ro.jpg	(from https://uavlens-company-website0ju8vnhpxo.codedesign.app/)
12:54:20	602/602	---M--	200	added ('OK')	image/svg+xml	etag:%22fcf7760ea8ab355ca63fef2ada58e0fa%22	https://res.cloudinary.com/dbyioi2qq/q_auto/v1686911779/static/excludeico-1svg_1686911777_73548.svg	/home/abhyuday/websites/Mavlens-Final/res.cloudinary.com/dbyioi2qq/q_auto/v1686911779/static/excludeico-1svg_1686911777_73548.svg	(from https://uavlens-company-website0ju8vnhpxo.codedesign.app/)
12:54:21	619/619	---M--	200	added ('OK')	image/svg+xml	etag:%227f7cf64e1c9f490f310070ab2c0197bc%22	https://res.cloudinary.com/dbyioi2qq/q_auto/v1686911780/static/excludeico-2svg_1686911777_19223.svg	/home/abhyuday/websites/Mavlens-Final/res.cloudinary.com/dbyioi2qq/q_auto/v1686911780/static/excludeico-2svg_1686911777_19223.svg	(from https://uavlens-company-website0ju8vnhpxo.codedesign.app/)
12:54:22	601/601	---M--	200	added ('OK')	image/svg+xml	etag:%2226b9140d384759031d8dbbc8433d79cd%22	https://res.cloudinary.com/dbyioi2qq/q_auto/v1686911780/static/excludeicosvg_1686911777_86557.svg	/home/abhyuday/websites/Mavlens-Final/res.cloudinary.com/dbyioi2qq/q_auto/v1686911780/static/excludeicosvg_1686911777_86557.svg	(from https://uavlens-company-website0ju8vnhpxo.codedesign.app/)
12:54:24	44319/44319	---M--	200	added ('OK')	image/png	etag:%22262dc39f70ceaa339a47983d5744b254%22	https://res.cloudinary.com/dbyioi2qq/q_auto/v1692256912/static/stable-diffusion-xl_clipdrop-background-removalpng_1692256910_52400.png	/home/abhyuday/websites/Mavlens-Final/res.cloudinary.com/dbyioi2qq/q_auto/v1692256912/static/stable-diffusion-xl_clipdrop-background-removalpng_1692256910_52400.png	(from https://uavlens-company-website0ju8vnhpxo.codedesign.app/)
12:54:27	144714/144714	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22c5d109be8edd3de0f60eb472bd9ef691%22	https://use.fontawesome.com/releases/v5.15.4/webfonts/fa-regular-400.svg	/home/abhyuday/websites/Mavlens-Final/use.fontawesome.com/releases/v5.15.4/webfonts/fa-regular-400.svg	(from https://use.fontawesome.com/releases/v5.15.4/css/all.css)
12:54:27	747927/747927	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221d5619cd804367cefe6da2d79289218a%22	https://use.fontawesome.com/releases/v5.15.4/webfonts/fa-brands-400.svg	/home/abhyuday/websites/Mavlens-Final/use.fontawesome.com/releases/v5.15.4/webfonts/fa-brands-400.svg	(from https://use.fontawesome.com/releases/v5.15.4/css/all.css)
12:54:29	918991/918991	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2237bc7099f6f1ba80236164f22e905837%22	https://use.fontawesome.com/releases/v5.15.4/webfonts/fa-solid-900.svg	/home/abhyuday/websites/Mavlens-Final/use.fontawesome.com/releases/v5.15.4/webfonts/fa-solid-900.svg	(from https://use.fontawesome.com/releases/v5.15.4/css/all.css)
